action_type,mechanism_of_action,molecule_chembl_id,target_chembl_id,parent_molecule_chembl_id,molecule_chembl_id_molecule_table,atc_classifications,pref_name_molecule,canonical_smiles,standard_inchi,standard_inchi_key,parent_chembl_id,oral,parenteral,organism,target_type,pref_name_target,accession,component_id,protein_classifications,level_1,level_2,level_3,level_4,level_5,InChi_nostereo
AGONIST,Beta-3 adrenergic receptor agonist,CHEMBL2107826,CHEMBL246,CHEMBL2107826,CHEMBL2107826,[],VIBEGRON,O=C(Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)[C@@H]1CCc2nccc(=O)n21,"InChI=1S/C26H28N4O3/c31-24-14-15-27-23-13-12-22(30(23)24)26(33)29-19-8-6-17(7-9-19)16-20-10-11-21(28-20)25(32)18-4-2-1-3-5-18/h1-9,14-15,20-22,25,28,32H,10-13,16H2,(H,29,33)/t20-,21+,22-,25+/m0/s1",DJXRIQMCROIRCZ-XOEOCAAJSA-N,CHEMBL2107826,True,False,Homo sapiens,SINGLE PROTEIN,Beta-3 adrenergic receptor,P13945,[2091],[544],['Membrane receptor'],['Family A G protein-coupled receptor'],['Small molecule receptor (family A GPCR)'],['Monoamine receptor'],['Adrenergic receptor'],"InChI=1S/C26H28N4O3/c31-24-14-15-27-23-13-12-22(30(23)24)26(33)29-19-8-6-17(7-9-19)16-20-10-11-21(28-20)25(32)18-4-2-1-3-5-18/h1-9,14-15,20-22,25,28,32H,10-13,16H2,(H,29,33)"
AGONIST,Bile acid receptor FXR agonist,CHEMBL1551,CHEMBL2047,CHEMBL1551,CHEMBL1551,['A05AA02'],URSODIOL,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,"InChI=1S/C24H40O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15+,16-,17-,18+,19+,20+,22+,23+,24-/m1/s1",RUDATBOHQWOJDD-UZVSRGJWSA-N,CHEMBL1551,True,False,Homo sapiens,SINGLE PROTEIN,Bile acid receptor FXR,Q96RI1,[387],[362],['Transcription factor'],['Nuclear receptor'],['Nuclear hormone receptor subfamily 1'],['Nuclear hormone receptor subfamily 1 group H'],['Nuclear hormone receptor subfamily 1 group H member 4'],"InChI=1S/C24H40O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)"
AGONIST,Bile acid receptor FXR agonist,CHEMBL240597,CHEMBL2047,CHEMBL240597,CHEMBL240597,['A05AA01'],CHENODIOL,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,"InChI=1S/C24H40O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15+,16-,17-,18+,19+,20-,22+,23+,24-/m1/s1",RUDATBOHQWOJDD-BSWAIDMHSA-N,CHEMBL240597,True,False,Homo sapiens,SINGLE PROTEIN,Bile acid receptor FXR,Q96RI1,[387],[362],['Transcription factor'],['Nuclear receptor'],['Nuclear hormone receptor subfamily 1'],['Nuclear hormone receptor subfamily 1 group H'],['Nuclear hormone receptor subfamily 1 group H member 4'],"InChI=1S/C24H40O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)"
AGONIST,Bile acid receptor FXR agonist,CHEMBL566315,CHEMBL2047,CHEMBL566315,CHEMBL566315,['A05AA04'],OBETICHOLIC ACID,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,"InChI=1S/C26H44O4/c1-5-17-21-14-16(27)10-12-26(21,4)20-11-13-25(3)18(15(2)6-9-22(28)29)7-8-19(25)23(20)24(17)30/h15-21,23-24,27,30H,5-14H2,1-4H3,(H,28,29)/t15-,16-,17-,18-,19+,20+,21+,23+,24-,25-,26-/m1/s1",ZXERDUOLZKYMJM-ZWECCWDJSA-N,CHEMBL566315,True,False,Homo sapiens,SINGLE PROTEIN,Bile acid receptor FXR,Q96RI1,[387],[362],['Transcription factor'],['Nuclear receptor'],['Nuclear hormone receptor subfamily 1'],['Nuclear hormone receptor subfamily 1 group H'],['Nuclear hormone receptor subfamily 1 group H member 4'],"InChI=1S/C26H44O4/c1-5-17-21-14-16(27)10-12-26(21,4)20-11-13-25(3)18(15(2)6-9-22(28)29)7-8-19(25)23(20)24(17)30/h15-21,23-24,27,30H,5-14H2,1-4H3,(H,28,29)"
AGONIST,Cannabinoid CB1 receptor agonist,CHEMBL2218896,CHEMBL218,CHEMBL2218896,CHEMBL2218896,['A04AD11'],NABILONE,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(=O)CC21,"InChI=1S/C24H36O3/c1-6-7-8-9-12-23(2,3)16-13-20(26)22-18-15-17(25)10-11-19(18)24(4,5)27-21(22)14-16/h13-14,18-19,26H,6-12,15H2,1-5H3",GECBBEABIDMGGL-UHFFFAOYSA-N,CHEMBL2218896,True,False,Homo sapiens,SINGLE PROTEIN,Cannabinoid CB1 receptor,P21554,[172],[566],['Membrane receptor'],['Family A G protein-coupled receptor'],['Small molecule receptor (family A GPCR)'],['Lipid-like ligand receptor (family A GPCR)'],['Cannabinoid receptor'],"InChI=1S/C24H36O3/c1-6-7-8-9-12-23(2,3)16-13-20(26)22-18-15-17(25)10-11-19(18)24(4,5)27-21(22)14-16/h13-14,18-19,26H,6-12,15H2,1-5H3"
AGONIST,Cannabinoid CB1 receptor agonist,CHEMBL465,CHEMBL218,CHEMBL465,CHEMBL465,['A04AD10'],DRONABINOL,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,"InChI=1S/C21H30O2/c1-5-6-7-8-15-12-18(22)20-16-11-14(2)9-10-17(16)21(3,4)23-19(20)13-15/h11-13,16-17,22H,5-10H2,1-4H3/t16-,17-/m1/s1",CYQFCXCEBYINGO-IAGOWNOFSA-N,CHEMBL465,True,False,Homo sapiens,SINGLE PROTEIN,Cannabinoid CB1 receptor,P21554,[172],[566],['Membrane receptor'],['Family A G protein-coupled receptor'],['Small molecule receptor (family A GPCR)'],['Lipid-like ligand receptor (family A GPCR)'],['Cannabinoid receptor'],"InChI=1S/C21H30O2/c1-5-6-7-8-15-12-18(22)20-16-11-14(2)9-10-17(16)21(3,4)23-19(20)13-15/h11-13,16-17,22H,5-10H2,1-4H3"
AGONIST,Dopamine D1 receptor agonist,CHEMBL1026,CHEMBL2056,CHEMBL588,CHEMBL588,['C01CA19'],FENOLDOPAM,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,"InChI=1S/C16H16ClNO3/c17-15-11-5-6-18-8-13(9-1-3-10(19)4-2-9)12(11)7-14(20)16(15)21/h1-4,7,13,18-21H,5-6,8H2",TVURRHSHRRELCG-UHFFFAOYSA-N,CHEMBL588,False,True,Homo sapiens,SINGLE PROTEIN,Dopamine D1 receptor,P21728,[397],[535],['Membrane receptor'],['Family A G protein-coupled receptor'],['Small molecule receptor (family A GPCR)'],['Monoamine receptor'],['Dopamine receptor'],"InChI=1S/C16H16ClNO3/c17-15-11-5-6-18-8-13(9-1-3-10(19)4-2-9)12(11)7-14(20)16(15)21/h1-4,7,13,18-21H,5-6,8H2"
AGONIST,Dopamine D2 receptor agonist,CHEMBL1201087,CHEMBL217,CHEMBL1201087,CHEMBL1201087,"['G02CB03', 'N04BC06']",CABERGOLINE,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,"InChI=1S/C26H37N5O2/c1-5-11-30-17-19(25(32)31(26(33)27-6-2)13-8-12-29(3)4)14-21-20-9-7-10-22-24(20)18(16-28-22)15-23(21)30/h5,7,9-10,16,19,21,23,28H,1,6,8,11-15,17H2,2-4H3,(H,27,33)/t19-,21-,23-/m1/s1",KORNTPPJEAJQIU-KJXAQDMKSA-N,CHEMBL1201087,True,False,Homo sapiens,SINGLE PROTEIN,Dopamine D2 receptor,P14416,[129],[535],['Membrane receptor'],['Family A G protein-coupled receptor'],['Small molecule receptor (family A GPCR)'],['Monoamine receptor'],['Dopamine receptor'],"InChI=1S/C26H37N5O2/c1-5-11-30-17-19(25(32)31(26(33)27-6-2)13-8-12-29(3)4)14-21-20-9-7-10-22-24(20)18(16-28-22)15-23(21)30/h5,7,9-10,16,19,21,23,28H,1,6,8,11-15,17H2,2-4H3,(H,27,33)"
AGONIST,Estrogen receptor alpha agonist,CHEMBL1200430,CHEMBL206,CHEMBL1200430,CHEMBL1200430,[],ESTRADIOL ACETATE,CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,"InChI=1S/C20H26O3/c1-12(21)23-14-4-6-15-13(11-14)3-5-17-16(15)9-10-20(2)18(17)7-8-19(20)22/h4,6,11,16-19,22H,3,5,7-10H2,1-2H3/t16-,17-,18+,19+,20+/m1/s1",FHXBMXJMKMWVRG-SLHNCBLASA-N,CHEMBL1200430,True,False,Homo sapiens,SINGLE PROTEIN,Estrogen receptor alpha,P03372,[410],[370],['Transcription factor'],['Nuclear receptor'],['Nuclear hormone receptor subfamily 3'],['Nuclear hormone receptor subfamily 3 group A'],['Nuclear hormone receptor subfamily 3 group A member 1'],"InChI=1S/C20H26O3/c1-12(21)23-14-4-6-15-13(11-14)3-5-17-16(15)9-10-20(2)18(17)7-8-19(20)22/h4,6,11,16-19,22H,3,5,7-10H2,1-2H3"
AGONIST,Estrogen receptor alpha agonist,CHEMBL1200980,CHEMBL206,CHEMBL494753,CHEMBL494753,[],ESTRONE SULFURIC ACID,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,"InChI=1S/C18H22O5S/c1-18-9-8-14-13-5-3-12(23-24(20,21)22)10-11(13)2-4-15(14)16(18)6-7-17(18)19/h3,5,10,14-16H,2,4,6-9H2,1H3,(H,20,21,22)/t14-,15-,16+,18+/m1/s1",JKKFKPJIXZFSSB-CBZIJGRNSA-N,CHEMBL494753,True,False,Homo sapiens,SINGLE PROTEIN,Estrogen receptor alpha,P03372,[410],[370],['Transcription factor'],['Nuclear receptor'],['Nuclear hormone receptor subfamily 3'],['Nuclear hormone receptor subfamily 3 group A'],['Nuclear hormone receptor subfamily 3 group A member 1'],"InChI=1S/C18H22O5S/c1-18-9-8-14-13-5-3-12(23-24(20,21)22)10-11(13)2-4-15(14)16(18)6-7-17(18)19/h3,5,10,14-16H,2,4,6-9H2,1H3,(H,20,21,22)"
AGONIST,Estrogen receptor alpha agonist,CHEMBL135,CHEMBL206,CHEMBL135,CHEMBL135,['G03CA03'],ESTRADIOL,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,"InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1",VOXZDWNPVJITMN-ZBRFXRBCSA-N,CHEMBL135,True,False,Homo sapiens,SINGLE PROTEIN,Estrogen receptor alpha,P03372,[410],[370],['Transcription factor'],['Nuclear receptor'],['Nuclear hormone receptor subfamily 3'],['Nuclear hormone receptor subfamily 3 group A'],['Nuclear hormone receptor subfamily 3 group A member 1'],"InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3"
AGONIST,Estrogen receptor alpha agonist,CHEMBL1405,CHEMBL206,CHEMBL1405,CHEMBL1405,"['G03CC04', 'G03CA07']",ESTRONE,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,"InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-16,19H,2,4,6-9H2,1H3/t14-,15-,16+,18+/m1/s1",DNXHEGUUPJUMQT-CBZIJGRNSA-N,CHEMBL1405,False,True,Homo sapiens,SINGLE PROTEIN,Estrogen receptor alpha,P03372,[410],[370],['Transcription factor'],['Nuclear receptor'],['Nuclear hormone receptor subfamily 3'],['Nuclear hormone receptor subfamily 3 group A'],['Nuclear hormone receptor subfamily 3 group A member 1'],"InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-16,19H,2,4,6-9H2,1H3"
AGONIST,Ghrelin receptor agonist,CHEMBL278623,CHEMBL4616,CHEMBL278623,CHEMBL278623,['V04CD06'],MACIMORELIN,CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)NC=O,"InChI=1S/C26H30N6O3/c1-26(2,27)25(35)31-22(11-16-13-28-20-9-5-3-7-18(16)20)24(34)32-23(30-15-33)12-17-14-29-21-10-6-4-8-19(17)21/h3-10,13-15,22-23,28-29H,11-12,27H2,1-2H3,(H,30,33)(H,31,35)(H,32,34)/t22-,23-/m1/s1",UJVDJAPJQWZRFR-DHIUTWEWSA-N,CHEMBL278623,True,False,Homo sapiens,SINGLE PROTEIN,Ghrelin receptor,Q92847,[2933],[508],['Membrane receptor'],['Family A G protein-coupled receptor'],['Peptide receptor (family A GPCR)'],['Short peptide receptor (family A GPCR)'],['GRP-related receptor'],"InChI=1S/C26H30N6O3/c1-26(2,27)25(35)31-22(11-16-13-28-20-9-5-3-7-18(16)20)24(34)32-23(30-15-33)12-17-14-29-21-10-6-4-8-19(17)21/h3-10,13-15,22-23,28-29H,11-12,27H2,1-2H3,(H,30,33)(H,31,35)(H,32,34)"
AGONIST,Glucocorticoid receptor agonist,CHEMBL131,CHEMBL2034,CHEMBL131,CHEMBL131,"['S02BA03', 'D07XA02', 'R01AD02', 'A01AC04', 'D07AA03', 'R01AD52', 'C05AA04', 'S03BA02', 'A07EA01', 'H02AB06', 'A01AC54', 'S01BA04', 'S01CB02']",PREDNISOLONE,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,"InChI=1S/C21H28O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-16,18,22,24,26H,3-4,6,8,10-11H2,1-2H3/t14-,15-,16-,18+,19-,20-,21-/m0/s1",OIGNJSKKLXVSLS-VWUMJDOOSA-N,CHEMBL131,True,False,Homo sapiens,SINGLE PROTEIN,Glucocorticoid receptor,P04150,[371],[375],['Transcription factor'],['Nuclear receptor'],['Nuclear hormone receptor subfamily 3'],['Nuclear hormone receptor subfamily 3 group C'],['Nuclear hormone receptor subfamily 3 group C member 1'],"InChI=1S/C21H28O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-16,18,22,24,26H,3-4,6,8,10-11H2,1-2H3"
AGONIST,Glucocorticoid receptor agonist,CHEMBL1451,CHEMBL2034,CHEMBL1451,CHEMBL1451,"['H02AB08', 'R03BA06', 'R01AD11', 'D07XB02', 'S01BA05', 'C05AA12', 'D07AB09', 'A01AC01']",TRIAMCINOLONE,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,"InChI=1S/C21H27FO6/c1-18-6-5-12(24)7-11(18)3-4-13-14-8-15(25)21(28,17(27)10-23)19(14,2)9-16(26)20(13,18)22/h5-7,13-16,23,25-26,28H,3-4,8-10H2,1-2H3/t13-,14-,15+,16-,18-,19-,20-,21-/m0/s1",GFNANZIMVAIWHM-OBYCQNJPSA-N,CHEMBL1451,True,False,Homo sapiens,SINGLE PROTEIN,Glucocorticoid receptor,P04150,[371],[375],['Transcription factor'],['Nuclear receptor'],['Nuclear hormone receptor subfamily 3'],['Nuclear hormone receptor subfamily 3 group C'],['Nuclear hormone receptor subfamily 3 group C member 1'],"InChI=1S/C21H27FO6/c1-18-6-5-12(24)7-11(18)3-4-13-14-8-15(25)21(28,17(27)10-23)19(14,2)9-16(26)20(13,18)22/h5-7,13-16,23,25-26,28H,3-4,8-10H2,1-2H3"
