protein_name,organism,uniprot_id,status,n_samples,regression_r2,regression_rmse,classification_accuracy,classification_f1,classification_auc,reason
NR1I3,rat,Q9QUS1,skipped,0,,,,,,insufficient_data
NR1I2,human,O75469,completed,344,0.5954395129326601,0.5681549626230892,0.8895348837209303,0.6481481481481481,0.8935453829070851,
NR1I2,mouse,O54915,skipped,0,,,,,,insufficient_data
NR1I2,rat,Q9R1A7,skipped,0,,,,,,insufficient_data
SULT1A1,human,P50225,skipped,6,,,,,,insufficient_data
SULT1A1,mouse,P52840,skipped,0,,,,,,insufficient_data
SULT1A1,rat,P17988,skipped,0,,,,,,insufficient_data
GSTA1,human,P08263,skipped,6,,,,,,insufficient_data
GSTA1,mouse,P13745,skipped,0,,,,,,insufficient_data
GSTA1,rat,P00502,skipped,0,,,,,,insufficient_data
OXA1L,human,Q15070,skipped,0,,,,,,insufficient_data
OXA1L,mouse,Q8BGA9,skipped,0,,,,,,insufficient_data
OXA1L,rat,A0A8I6AQW6,skipped,0,,,,,,insufficient_data
ORM1,human,P02763,skipped,0,,,,,,insufficient_data
ORM1,mouse,Q60590,skipped,0,,,,,,insufficient_data
ORM1,rat,P02764,skipped,0,,,,,,insufficient_data
KCNH2,human,Q12809,completed,4492,0.501060762088398,0.6669968163355419,0.9447907390917186,0.6426512968299711,0.9200471524058532,
KCNH2,mouse,O35219,skipped,0,,,,,,insufficient_data
KCNH2,rat,O08962,skipped,0,,,,,,insufficient_data
SCN5A,human,Q14524,completed,329,0.43628728525502813,0.5162942816801908,0.9878419452887538,0.3333333333333333,0.7442307692307693,
SCN5A,mouse,Q9JJV9,skipped,0,,,,,,insufficient_data
SCN5A,rat,P15389,skipped,0,,,,,,insufficient_data
CACNB1,human,Q02641,skipped,0,,,,,,insufficient_data
CACNB1,mouse,Q8R3Z5,skipped,0,,,,,,insufficient_data
CACNB1,rat,P54283,skipped,0,,,,,,insufficient_data
CAV1,human,Q03135,skipped,0,,,,,,insufficient_data
CAV1,mouse,P49817,skipped,0,,,,,,insufficient_data
CAV1,rat,P41350,skipped,0,,,,,,insufficient_data
HTR2B,human,P41595,completed,1180,0.34093442315598277,0.7196292418552606,0.7389830508474576,0.6140350877192983,0.7863819604698662,
HTR2B,mouse,Q02152,skipped,0,,,,,,insufficient_data
HTR2B,rat,P30994,completed,35,0.7800472920495218,0.5844872828670373,0.7428571428571429,0.8421052631578947,0.7704081632653061,
SLC6A4,human,P31645,completed,2958,0.5786313054649276,0.7342703665690856,0.8069641649763354,0.8227258615336852,0.8876898466311429,
SLC6A4,mouse,Q60857,skipped,12,,,,,,insufficient_data
SLC6A4,rat,P31652,completed,1995,0.6716259689412382,0.6955136143403698,0.8335839598997494,0.8383641674780915,0.9136668731199803,
DIDO1,human,Q9BTC0,skipped,0,,,,,,insufficient_data
DIDO1,mouse,Q8C9B9,skipped,0,,,,,,insufficient_data
DIDO1,rat,A0A8I5ZXE0,skipped,0,,,,,,insufficient_data
SLC6A3,human,Q01959,completed,1646,0.623307602549305,0.640171289520013,0.8323207776427703,0.7425373134328358,0.8896695790860552,
SLC6A3,mouse,Q61327,skipped,14,,,,,,insufficient_data
SLC6A3,rat,P23977,completed,1114,0.6693625372435152,0.6357320344971494,0.8240574506283662,0.7945492662473794,0.9105463502015226,
SLC6A2,human,P23975,completed,2021,0.5772459825161692,0.6712073762990267,0.7981197427016329,0.7848101265822784,0.8687703027210818,
SLC6A2,mouse,O55192,skipped,1,,,,,,insufficient_data
SLC6A2,rat,F1LNR9,skipped,0,,,,,,insufficient_data
NAT8,human,Q9UHE5,skipped,0,,,,,,insufficient_data
NAT8,mouse,Q9JIY7,skipped,0,,,,,,insufficient_data
NAT8,rat,Q9QXT3,skipped,0,,,,,,insufficient_data
ADRA1A,human,P25100,completed,566,0.5204410015013282,0.7973564904331782,0.8091872791519434,0.8601036269430051,0.8817829740591889,
ADRA1A,mouse,P97718,skipped,0,,,,,,insufficient_data
ADRA1A,rat,P23944,completed,146,0.5999059245915036,0.8349476868989221,0.910958904109589,0.9353233830845771,0.91625,
ADRA2A,human,P08913,completed,526,0.48876049152010914,0.8833989820585294,0.8098859315589354,0.7757847533632287,0.8866404569393962,
ADRA2A,mouse,Q01338,skipped,0,,,,,,insufficient_data
ADRA2A,rat,P22909,completed,39,0.6270419324573386,1.0399221508855991,0.8205128205128205,0.7741935483870968,0.9057142857142858,
ADRB1,human,P08588,completed,614,0.5447816834976382,0.7455540904524617,0.8159609120521173,0.7839388145315488,0.8842748485793898,
ADRB1,mouse,P34971,completed,32,0.4286223224881639,0.8036384505341525,0.625,0.6470588235294118,0.6507936507936508,
ADRB1,rat,P18090,completed,53,0.615782530125262,0.929166217450258,0.7358490566037735,0.6111111111111112,0.8095238095238095,
ADRB2,human,P07550,completed,860,0.6968977665508758,0.8844966511765454,0.8569767441860465,0.8953191489361703,0.9172493497128436,
ADRB2,mouse,P18762,skipped,0,,,,,,insufficient_data
ADRB2,rat,P10608,skipped,20,,,,,,insufficient_data
CNRIP1,human,Q96F85,skipped,0,,,,,,insufficient_data
CNRIP1,mouse,Q5M8N0,skipped,0,,,,,,insufficient_data
CNRIP1,rat,Q5M7A7,skipped,0,,,,,,insufficient_data
CNR2,human,P34972,completed,4295,0.4984560348565641,0.8172440635974185,0.7781140861466822,0.7846327683615819,0.8543884137947783,
CNR2,mouse,P47936,completed,363,0.6016213961162103,0.7412917395245652,0.8484848484848485,0.8796498905908097,0.9171903342834933,
CNR2,rat,Q9QZN9,completed,194,0.39141587256328647,0.6931807267022733,0.8195876288659794,0.8763250883392226,0.8492764758611858,
CHRM1,human,P11229,completed,1103,0.4884439194585809,0.890068663005021,0.7960108794197642,0.7019867549668874,0.852772349780166,
CHRM1,mouse,P12657,skipped,1,,,,,,insufficient_data
CHRM1,rat,P08482,completed,261,0.7810936102166464,0.7273029410984184,0.9157088122605364,0.8817204301075269,0.9628875459800316,
CHRM2,human,P08172,completed,721,0.6004761371554186,0.8762612178857249,0.8085991678224688,0.8050847457627118,0.8919270432507311,
CHRM2,mouse,Q9ERZ4,skipped,5,,,,,,insufficient_data
CHRM2,rat,P10980,completed,130,0.5853625653812875,0.8682851913728532,0.8153846153846154,0.8153846153846154,0.8833136094674556,
CHRM3,human,P20309,completed,1209,0.7298650270667586,0.8226113634578303,0.8469809760132341,0.8760884125920965,0.931008537559118,
CHRM3,mouse,Q9ERZ3,skipped,0,,,,,,insufficient_data
CHRM3,rat,P08483,completed,93,0.5607720736228596,0.9318329191238052,0.8387096774193549,0.9019607843137255,0.7688888888888888,
CHRNA10,human,Q9GZZ6,skipped,0,,,,,,insufficient_data
CHRNA10,mouse,B2RX82,skipped,0,,,,,,insufficient_data
CHRNA10,rat,Q9JLB5,skipped,0,,,,,,insufficient_data
CHRNA9,human,Q9UGM1,skipped,0,,,,,,insufficient_data
CHRNA9,mouse,G3X8Z7,skipped,0,,,,,,insufficient_data
CHRNA9,rat,P43144,skipped,0,,,,,,insufficient_data
CHRNA7,human,P36544,completed,595,0.5780800795482346,0.7656849278063967,0.838655462184874,0.7419354838709677,0.8943583921282405,
CHRNA7,mouse,P49582,skipped,4,,,,,,insufficient_data
CHRNA7,rat,Q05941,completed,1018,0.6102819223911246,0.7720177280614532,0.7888015717092338,0.7675675675675676,0.883938335208543,
CHRNA3,human,P32297,skipped,3,,,,,,insufficient_data
CHRNA3,mouse,Q8R4G9,skipped,0,,,,,,insufficient_data
CHRNA3,rat,P04757,skipped,0,,,,,,insufficient_data
CHRNA5,human,P30532,skipped,0,,,,,,insufficient_data
CHRNA5,mouse,Q2MKA5,skipped,0,,,,,,insufficient_data
CHRNA5,rat,P20420,skipped,0,,,,,,insufficient_data
SMPDL3A,human,Q92484,skipped,0,,,,,,insufficient_data
SMPDL3A,mouse,P70158,skipped,0,,,,,,insufficient_data
SMPDL3A,rat,Q641Z7,skipped,0,,,,,,insufficient_data
GABPA,human,Q06546,skipped,0,,,,,,insufficient_data
GABPA,mouse,Q00422,skipped,0,,,,,,insufficient_data
GABPA,rat,A0A8I6GML2,skipped,0,,,,,,insufficient_data
HRH1,human,P35367,completed,945,0.6415117410683409,0.7172233751551275,0.8116402116402116,0.7880952380952381,0.8810829488951516,
HRH1,mouse,P70174,skipped,1,,,,,,insufficient_data
HRH1,rat,P31390,skipped,26,,,,,,insufficient_data
SLCO1B1,human,Q9Y6L6,skipped,16,,,,,,insufficient_data
SLCO2B1,human,O94956,completed,33,-0.2662568017972373,0.7035743985763087,1.0,0.0,,
SLCO2B1,mouse,Q8BXB6,skipped,0,,,,,,insufficient_data
SLCO2B1,rat,Q9JHI3,skipped,0,,,,,,insufficient_data
