target_protein,r2_pooled,rmse_pooled,mae_pooled,protein_type,n_pooled_train_samples,n_target_test_samples,r2_single,rmse_single,mae_single,n_total_samples,n_test_samples,r2_difference,rmse_difference,mae_difference
HTR2B,0.3775473905261537,0.7438289742184789,0.573053637678235,HTR,4273.0,236.0,0.4661594594962498,0.6888516787661787,0.5177898305084742,1180,236,-0.0886120689700961,0.054977295452300234,0.05526380716976087
SLC6A4,0.29843746999199083,0.9605919459975625,0.7238543119706399,SLC,6023.0,592.0,0.6734634438278513,0.655347507920945,0.47868526846042464,2958,592,-0.37502597383586045,0.3052444380766175,0.24516904351021523
SLC6A4,0.29843746999199083,0.9605919459975625,0.7238543119706399,SLC,6023.0,592.0,0.6734634438278513,0.6553475079209451,0.4786852684604247,2958,592,-0.37502597383586045,0.3052444380766174,0.24516904351021518
SLC6A4,0.2984374699919907,0.9605919459975625,0.7238543119706401,SLC,6023.0,592.0,0.6734634438278513,0.655347507920945,0.47868526846042464,2958,592,-0.37502597383586056,0.3052444380766175,0.24516904351021546
SLC6A4,0.2984374699919907,0.9605919459975625,0.7238543119706401,SLC,6023.0,592.0,0.6734634438278513,0.6553475079209451,0.4786852684604247,2958,592,-0.37502597383586056,0.3052444380766174,0.2451690435102154
SLC6A3,0.027206892466215993,1.0650444551011764,0.851577303983895,SLC,6285.0,330.0,0.6514565422915397,0.637508472420847,0.49096198160173116,1646,330,-0.6242496498253237,0.42753598268032944,0.3606153223821638
SLC6A2,0.12577977485734404,0.9957645569763228,0.7693829818597039,SLC,6215.0,405.0,0.5741876113650248,0.694952922374762,0.5402887860082305,2021,405,-0.4484078365076808,0.3008116346015608,0.2290941958514734
SLC6A2,0.12577977485734404,0.9957645569763228,0.7693829818597039,SLC,6215.0,405.0,0.5741876113650246,0.6949529223747621,0.5402887860082305,2021,405,-0.44840783650768057,0.3008116346015607,0.2290941958514734
SLC6A2,0.12577977485734404,0.9957645569763228,0.7693829818597038,SLC,6215.0,405.0,0.5741876113650248,0.694952922374762,0.5402887860082305,2021,405,-0.4484078365076808,0.3008116346015608,0.22909419585147328
SLC6A2,0.12577977485734404,0.9957645569763228,0.7693829818597038,SLC,6215.0,405.0,0.5741876113650246,0.6949529223747621,0.5402887860082305,2021,405,-0.44840783650768057,0.3008116346015607,0.22909419585147328
ADRA1A,0.5569942521035266,0.7357942253608056,0.5635042025804735,ADRA,1242.0,179.0,0.5557247677876455,0.7368477229872591,0.5486541899441344,895,179,0.001269484315881142,-0.001053497626453459,0.014850012636339116
ADRA2A,0.4859538407990128,0.9347773297721067,0.6541172012578621,ADRA,986.0,106.0,0.5105256817429771,0.9121621916292014,0.6149784591194971,526,106,-0.02457184094396425,0.022615138142905278,0.03913874213836499
ADRB1,-0.06588109463254477,1.1737688627068787,0.8598188557174526,ADRB,1351.0,123.0,0.5239091254467669,0.7844642085128353,0.5478573170731711,614,123,-0.5897902200793117,0.3893046541940435,0.31196153864428156
ADRB2,0.4582066632940367,1.1188410979516923,0.8716120422310246,ADRB,1302.0,172.0,0.6883976075487072,0.8485002463449466,0.5898427334390416,860,172,-0.23019094425467046,0.2703408516067457,0.28176930879198303
CHRM1,0.6185362100440517,0.7756877643064222,0.5851213039769497,CHRM,2800.0,221.0,0.5208113575017908,0.8693877956261914,0.637707580621993,1103,221,0.09772485254226093,-0.09370003131976923,-0.05258627664504323
CHRM2,0.4381384211777263,0.9583086136262524,0.7273925579037943,CHRM,2882.0,145.0,0.6054482733433807,0.8030502068603411,0.6332978617952928,721,145,-0.16730985216565442,0.1552584067659113,0.09409469610850152
CHRM3,0.6810625365729239,0.865489514915944,0.6651273436320476,CHRM,2786.0,242.0,0.6950909879283355,0.8462412153529716,0.6507046116509755,1209,242,-0.014028451355411531,0.01924829956297236,0.014422731981072134
SLCO1B1,-0.5157660108255762,0.7932834802307059,0.6788733333333317,SLCO,45.0,4.0,0.2829124422298075,0.5456302273518243,0.45420000000000016,16,4,-0.7986784530553837,0.24765325287888162,0.2246733333333315
SLCO2B3,-13.402702693299112,0.6352918506263295,0.47372503968253926,SLCO,61.0,3.0,-9.292120459952363,0.5370363923112337,0.4869333333333324,15,3,-4.110582233346749,0.09825545831509586,-0.013208293650793124
SLCO2B1,-0.25358864957878424,0.4244027142312191,0.3839100000000016,SLCO,42.0,7.0,0.48616796488835834,0.2717134993228818,0.24411428571428573,33,7,-0.7397566144671426,0.1526892149083373,0.13979571428571586
